,Date,State,Age,HospitalizationRate,DeathRate,CaseRate,Population,Hospitalizations,Deaths,Cases
1118,200913,Ohio,50-64 yr,0.8905,0.05343,80.95454465,2237016.5,19.92063193,1.195237916,1810.966521
1119,200913,Oklahoma,50-64 yr,0.8905,0.05343,80.95454465,678075,6.038257875,0.362295473,548.9325286
1120,200913,North Carolina,50-64 yr,0.8905,0.05343,80.95454465,1733101,15.43326441,0.925995864,1403.024023
1121,200913,Rhode Island,50-64 yr,0.8905,0.05343,80.95454465,203649,1.813494345,0.108809661,164.8631206
1122,200913,South Carolina,50-64 yr,0.8905,0.05343,80.95454465,871519,7.760876695,0.465652602,705.5342379
1123,200913,Alabama,50-64 yr,0.8905,0.05343,80.95454465,899753,8.012300465,0.480738028,728.3909441
1124,200913,Alaska,50-64 yr,0.8905,0.05343,80.95454465,133842,1.19186301,0.071511781,108.3511816
1125,200913,Arizona,50-64 yr,0.8905,0.05343,80.95454465,1092521,9.728899505,0.58373397,884.4454007
1126,200913,Arkansas,50-64 yr,0.8905,0.05343,80.95454465,535960.5,4.772728253,0.286363695,433.8843823
1127,200913,Delaware,50-64 yr,0.8905,0.05343,80.95454465,169611.5,1.510390408,0.090623424,137.3082175
1128,200913,Florida,50-64 yr,0.8905,0.05343,80.95454465,3560151,31.70314466,1.902188679,2882.104031
1129,200913,Idaho,50-64 yr,0.8905,0.05343,80.95454465,271997.5,2.422137738,0.145328264,220.1943376
1130,200913,Illinois,50-64 yr,0.8905,0.05343,80.95454465,2314889,20.61408655,1.236845193,1874.007849
1131,200913,Indiana,50-64 yr,0.8905,0.05343,80.95454465,1192088.5,10.61554809,0.636932886,965.0498169
1132,200913,Iowa,50-64 yr,0.8905,0.05343,80.95454465,569719,5.073347695,0.304400862,461.2134222
1133,200913,Kansas,50-64 yr,0.8905,0.05343,80.95454465,513322,4.57113241,0.274267945,415.5574877
1134,200913,Louisiana,50-64 yr,0.8905,0.05343,80.95454465,823216.5,7.330742933,0.439844576,666.431169
1135,200913,Maine,50-64 yr,0.8905,0.05343,80.95454465,290138.5,2.583683343,0.155021001,234.8803015
1136,200913,Massachusetts,50-64 yr,0.8905,0.05343,80.95454465,1252162,11.15050261,0.669030157,1013.682045
1137,200913,Michigan,50-64 yr,0.8905,0.05343,80.95454465,1941720.5,17.29102105,1.037461263,1571.910989
1138,200913,Mississippi,50-64 yr,0.8905,0.05343,80.95454465,537049.5,4.782425798,0.286945548,434.7659772
1139,200913,Kentucky,50-64 yr,0.8905,0.05343,80.95454465,826555,7.360472275,0.441628337,669.1338365
1140,200913,Hawaii,50-64 yr,0.8905,0.05343,80.95454465,261782.5,2.331173163,0.13987039,211.9248308
1141,200913,Utah,50-64 yr,0.8905,0.05343,80.95454465,372235.5,3.314757128,0.198885428,301.341554
1142,200913,Virginia,50-64 yr,0.8905,0.05343,80.95454465,1493516.5,13.29976443,0.797985866,1209.069482
1143,200913,Nevada,50-64 yr,0.8905,0.05343,80.95454465,482306.5,4.294939383,0.257696363,390.4490309
1144,200913,South Dakota,50-64 yr,0.8905,0.05343,80.95454465,149319.5,1.329690148,0.079781409,120.8809213
1145,200913,North Dakota,50-64 yr,0.8905,0.05343,80.95454465,124172,1.10575166,0.0663451,100.5228772
1146,200913,Pennsylvania,50-64 yr,0.8905,0.05343,80.95454465,2492041.5,22.19162956,1.331497773,2017.420849
